"emp_no","salary"
10001,60117
10002,65828
10003,40006
10004,40054
10005,78228
10006,40000
10007,56724
10008,46671
10009,60929
10010,72488
10011,42365
10012,40000
10013,40000
10014,46168
10015,40000
10016,70889
10017,71380
10018,55881
10019,44276
10020,40000
10021,55025
10022,40000
10023,47883
10024,83733
10025,40000
10026,47585
10027,40000
10028,48859
10029,63163
10030,66956
10031,40000
10032,48426
10033,51258
10034,47561
10035,41538
10036,42819
10037,40000
10038,40000
10039,40000
10040,52153
10041,56893
10042,81662
10043,49324
10044,40919
10045,41971
10046,40000
10047,54982
10048,40000
10049,40000
10050,74366
10051,48817
10052,57212
10053,67854
10054,40000
10055,80024
10056,48857
10057,49616
10058,52787
10059,71218
10060,74686
10061,68577
10062,55685
10063,40000
10064,40000
10065,40000
10066,69736
10067,44642
10068,87964
10069,67932
10070,55999
10071,40000
10072,40000
10073,56473
10074,61714
10075,43815
10076,47319
10077,40000
10078,47280
10079,53492
10080,54916
10081,55786
10082,48935
10083,40000
10084,69811
10085,40000
10086,81613
10087,96750
10088,65957
10089,56469
10090,44978
10091,40000
10092,53977
10093,67856
10094,58001
10095,63668
10096,61395
10097,44886
10098,40000
10099,68781
10100,54398
